,current board1-firm name,current board1-firm type,current board1-title,current board1-location,current board1-industry,current board1-since,current board1-companylink,current board2-firm name,current board2-firm type,current board2-title,current board2-location,current board2-industry,current board2-since,current board2-companylink,current board3-firm name,current board3-firm type,current board3-title,current board3-location,current board3-industry,current board3-since,current board3-companylink,current board4-firm name,current board4-firm type,current board4-title,current board4-location,current board4-industry,current board4-since,current board4-companylink,current board5-firm name,current board5-firm type,current board5-title,current board5-location,current board5-industry,current board5-since,current board5-companylink,current board6-firm name,current board6-firm type,current board6-title,current board6-location,current board6-industry,current board6-since,current board6-companylink,current board7-firm name,current board7-firm type,current board7-title,current board7-location,current board7-industry,current board7-since,current board7-companylink,current board8-firm name,current board8-firm type,current board8-title,current board8-location,current board8-industry,current board8-since,current board8-companylink,current board9-firm name,current board9-firm type,current board9-title,current board9-location,current board9-industry,current board9-since,current board9-companylink,current board10-firm name,current board10-firm type,current board10-title,current board10-location,current board10-industry,current board10-since,current board10-companylink
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,BlueWind Medical,COMPANY,,"Herzliya, Israel",Therapeutic Devices,2018/11/1,https://my.pitchbook.com/profile/58761-19/company/profile,Globus Medical,COMPANY,,"Audubon, PA",Surgical Devices,2011/1/1,https://my.pitchbook.com/profile/10577-26/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Apollo (Database Software),COMPANY,,"San Francisco, CA",Database Software,2015/1/1,https://my.pitchbook.com/profile/155953-72/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Vivace Therapeutics,COMPANY,,"San Mateo, CA",Drug Discovery,2015/1/1,https://my.pitchbook.com/profile/107318-89/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
