,current position1-firm name,current position1-firm type,current position1-title,current position1-location,current position1-industry,current position1-since,current position1-companylink,current position2-firm name,current position2-firm type,current position2-title,current position2-location,current position2-industry,current position2-since,current position2-companylink,current position3-firm name,current position3-firm type,current position3-title,current position3-location,current position3-industry,current position3-since,current position3-companylink,current position4-firm name,current position4-firm type,current position4-title,current position4-location,current position4-industry,current position4-since,current position4-companylink,current position5-firm name,current position5-firm type,current position5-title,current position5-location,current position5-industry,current position5-since,current position5-companylink,current position6-firm name,current position6-firm type,current position6-title,current position6-location,current position6-industry,current position6-since,current position6-companylink,current position7-firm name,current position7-firm type,current position7-title,current position7-location,current position7-industry,current position7-since,current position7-companylink,current position8-firm name,current position8-firm type,current position8-title,current position8-location,current position8-industry,current position8-since,current position8-companylink,current position9-firm name,current position9-firm type,current position9-title,current position9-location,current position9-industry,current position9-since,current position9-companylink,current position10-firm name,current position10-firm type,current position10-title,current position10-location,current position10-industry,current position10-since,current position10-companylink
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,GeoVisible,COMPANY,Co-Founder,"Seattle, WA",Information Services (B2C),2015-01-01,https://my.pitchbook.com/profile/151080-22/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,GeoVisible,COMPANY,Co-Founder,"Seattle, WA",Information Services (B2C),2015-01-01,https://my.pitchbook.com/profile/151080-22/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Eldec Pharmaceuticals,COMPANY,"Founder, President & Chief Scientific Officer","Chapel Hill, NC",Drug Discovery,2017-12-07,https://my.pitchbook.com/profile/464010-22/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,BlueWind Medical,COMPANY,Chief Executive Officer & Chairman,"Herzliya, Israel",Therapeutic Devices,2018-11-01,https://my.pitchbook.com/profile/58761-19/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Apollo (Database Software),COMPANY,"Co-Founder, Chief Business Officer & Board Member","San Francisco, CA",Database Software,2015-01-01,https://my.pitchbook.com/profile/155953-72/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,6 Dimensions Capital,INVESTOR,Venture Partner,"Shanghai, China",,,https://my.pitchbook.com/profile/181279-45/company/profile,Virtuoso Therapeutics,COMPANY,Co-Chief Executive Officer & President,"San Mateo, CA",Drug Discovery,,https://my.pitchbook.com/profile/432650-89/company/profile,Vivace Therapeutics,COMPANY,"Co-Founder, President, Chief Executive Officer and Board Member","San Mateo, CA",Drug Discovery,2015-01-01,https://my.pitchbook.com/profile/107318-89/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Paylode,COMPANY,Founder & Chief Executive Officer,"Los Angeles, CA",Business/Productivity Software,2019-12-01,https://my.pitchbook.com/profile/304052-50/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
