,former advisor1-firm name,former advisor1-firm type,former advisor1-title,former advisor1-location,former advisor1-industry,former advisor1-since,former advisor1-companylink,former advisor2-firm name,former advisor2-firm type,former advisor2-title,former advisor2-location,former advisor2-industry,former advisor2-since,former advisor2-companylink,former advisor3-firm name,former advisor3-firm type,former advisor3-title,former advisor3-location,former advisor3-industry,former advisor3-since,former advisor3-companylink,former advisor4-firm name,former advisor4-firm type,former advisor4-title,former advisor4-location,former advisor4-industry,former advisor4-since,former advisor4-companylink,former advisor5-firm name,former advisor5-firm type,former advisor5-title,former advisor5-location,former advisor5-industry,former advisor5-since,former advisor5-companylink,former advisor6-firm name,former advisor6-firm type,former advisor6-title,former advisor6-location,former advisor6-industry,former advisor6-since,former advisor6-companylink,former advisor7-firm name,former advisor7-firm type,former advisor7-title,former advisor7-location,former advisor7-industry,former advisor7-since,former advisor7-companylink,former advisor8-firm name,former advisor8-firm type,former advisor8-title,former advisor8-location,former advisor8-industry,former advisor8-since,former advisor8-companylink,former advisor9-firm name,former advisor9-firm type,former advisor9-title,former advisor9-location,former advisor9-industry,former advisor9-since,former advisor9-companylink,former advisor10-firm name,former advisor10-firm type,former advisor10-title,former advisor10-location,former advisor10-industry,former advisor10-since,former advisor10-companylink
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
