,former position1-firm name,former position1-firm type,former position1-title,former position1-location,former position1-industry,former position1-since,former position1-companylink,former position2-firm name,former position2-firm type,former position2-title,former position2-location,former position2-industry,former position2-since,former position2-companylink,former position3-firm name,former position3-firm type,former position3-title,former position3-location,former position3-industry,former position3-since,former position3-companylink,former position4-firm name,former position4-firm type,former position4-title,former position4-location,former position4-industry,former position4-since,former position4-companylink,former position5-firm name,former position5-firm type,former position5-title,former position5-location,former position5-industry,former position5-since,former position5-companylink,former position6-firm name,former position6-firm type,former position6-title,former position6-location,former position6-industry,former position6-since,former position6-companylink,former position7-firm name,former position7-firm type,former position7-title,former position7-location,former position7-industry,former position7-since,former position7-companylink,former position8-firm name,former position8-firm type,former position8-title,former position8-location,former position8-industry,former position8-since,former position8-companylink,former position9-firm name,former position9-firm type,former position9-title,former position9-location,former position9-industry,former position9-since,former position9-companylink,former position10-firm name,former position10-firm type,former position10-title,former position10-location,former position10-industry,former position10-since,former position10-companylink
0,Eden Rock Communications,COMPANY,"President, Chief Executive Officer, Co-Founder & Board Member","Bothell, WA",Fiberoptic Equipment,2007-01-01,https://my.pitchbook.com/profile/95999-41/company/profile,Nokia Networks,COMPANY,Head of SON Strategy,"Espoo, Finland",Connectivity Products,,https://my.pitchbook.com/profile/42285-07/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Eden Rock Communications,COMPANY,"Co-Founder & Executive Vice President, Business Development","Bothell, WA",Fiberoptic Equipment,2007-01-01,https://my.pitchbook.com/profile/95999-41/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Spyryx Biosciences,COMPANY,"President, Chief Executive Officer & Board Member","Durham, NC",Pharmaceuticals,2013-12-01,https://my.pitchbook.com/profile/112790-98/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Spyryx Biosciences,COMPANY,Scientific Founder & Board of Director,"Durham, NC",Pharmaceuticals,2013-07-01,https://my.pitchbook.com/profile/112790-98/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Rivanna,COMPANY,President and Chief Executive Officer,"Charlottesville, VA",Diagnostic Equipment,2015-04-01,https://my.pitchbook.com/profile/54254-98/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Direct Flow Medical,COMPANY,"Chief Executive Officer, President & Board Member","Santa Rosa, CA",Surgical Devices,2015-05-07,https://my.pitchbook.com/profile/51707-80/company/profile,White Pine Medical,COMPANY,"President, Chief Executive Officer and Board Member","Park City, UT",Other Financial Services,2010-02-01,https://my.pitchbook.com/profile/52981-03/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Doblet,COMPANY,"Vice President, Business Development and Operations & Chief Strategy Officer","San Francisco, CA",Application Software,2014-01-01,https://my.pitchbook.com/profile/66132-10/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WuXi Healthcare Ventures,INVESTOR,Managing Director,"Cambridge, MA",,2013-12-01,https://my.pitchbook.com/profile/112796-56/company/profile,WuXi Healthcare Ventures,INVESTOR,Venture Partner,"Cambridge, MA",,,https://my.pitchbook.com/profile/112796-56/company/profile,Wuxi Venture Capital Group Company,INVESTOR,Managing Director,"Wuxi, China",,,https://my.pitchbook.com/profile/42988-15/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,DigitalGenius,COMPANY,"Co-Founder, President, Board Member & CSO","London, United Kingdom",Business/Productivity Software,2013-01-01,https://my.pitchbook.com/profile/86593-15/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Azur Pharma,INVESTOR,Senior Vice President & Chief Financial Officer,"Dublin, Ireland",,2013-04-01,https://my.pitchbook.com/profile/82330-48/company/profile,Jazz Pharmaceuticals,COMPANY,Chief Financial Officer & Executive Vice President,"Dublin, Ireland",Pharmaceuticals,2013-01-01,https://my.pitchbook.com/profile/10609-39/company/profile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
